epoch,loss,lr,mean_pred,mean_pred_single_pixel,mean_true,segmentation_single_pixel_binary_accuracy,val_loss,val_mean_pred,val_mean_pred_single_pixel,val_mean_true,val_segmentation_single_pixel_binary_accuracy
0,0.6932746767997742,0.1,0.5009670853614807,0.5000636577606201,0.0,0.3333333432674408,0.6572460055351257,0.47526721358299256,0.47689691185951233,0.1,0.9
1,0.6486732959747314,0.1,0.476882666349411,0.47726067900657654,0.0,1.0,0.6143880188465118,0.4489889681339264,0.44743517637252805,0.1,0.9
2,0.5926405787467957,0.1,0.44959986209869385,0.4471311569213867,0.0,1.0,0.5752056181430817,0.421354204416275,0.4185400903224945,0.1,0.9
3,0.5473573207855225,0.1,0.4220182001590729,0.42151546478271484,0.0,1.0,0.5405073076486587,0.39465841054916384,0.3911542534828186,0.1,0.9
4,0.49581751227378845,0.1,0.3955504298210144,0.39090433716773987,0.0,1.0,0.509588223695755,0.3684952944517136,0.36501398384571077,0.1,0.9
5,0.4534357488155365,0.1,0.36989131569862366,0.36454835534095764,0.0,1.0,0.48167066276073456,0.34352925419807434,0.3397524654865265,0.1,0.9
6,0.42797017097473145,0.1,0.34549978375434875,0.34811821579933167,0.0,1.0,0.45735080242156984,0.32019188702106477,0.3162630498409271,0.1,0.9
7,0.3882569372653961,0.1,0.3226257860660553,0.3216741383075714,0.0,1.0,0.43509292006492617,0.29717773497104644,0.2932113856077194,0.1,0.9
8,0.34791049361228943,0.1,0.3004491925239563,0.29380765557289124,0.0,1.0,0.41507581174373626,0.27484592199325564,0.2709233820438385,0.1,0.9
9,0.32058408856391907,0.1,0.2788182199001312,0.2740821838378906,0.0,1.0,0.3975075125694275,0.2538900822401047,0.24976051598787308,0.1,0.9
10,0.29270246624946594,0.1,0.25848835706710815,0.25346657633781433,0.0,1.0,0.3823311924934387,0.23420618325471879,0.2299237832427025,0.1,0.9
11,0.2674737870693207,0.1,0.23915071785449982,0.23458917438983917,0.0,1.0,0.36912721395492554,0.2156790390610695,0.21101356744766236,0.1,0.9
